"","generation","year","sex","suicide_rate"
"1","Boomers",1990,"female",5.10609375
"2","Boomers",1990,"male",19.6115625
"3","Boomers",1991,"female",5.488046875
"4","Boomers",1991,"male",21.55234375
"5","Boomers",1992,"female",5.80023076923077
"6","Boomers",1992,"male",22.4180769230769
"7","Boomers",1993,"female",5.72
"8","Boomers",1993,"male",23.6674615384615
"9","Boomers",1994,"female",5.40176470588235
"10","Boomers",1994,"male",23.2050735294118
"11","Boomers",1995,"female",7.20179487179487
"12","Boomers",1995,"male",29.9316666666667
"13","Boomers",1996,"female",7.04922077922078
"14","Boomers",1996,"male",29.718961038961
"15","Boomers",1997,"female",6.59194805194805
"16","Boomers",1997,"male",28.7135064935065
"17","Boomers",1998,"female",6.70683544303798
"18","Boomers",1998,"male",29.0482278481013
"19","Boomers",1999,"female",6.33301204819277
"20","Boomers",1999,"male",28.4863855421687
"21","Boomers",2000,"female",6.20383720930233
"22","Boomers",2000,"male",26.6829069767442
"23","Boomers",2001,"female",6.07795454545455
"24","Boomers",2001,"male",26.7895454545455
"25","Boomers",2002,"female",6.26255813953488
"26","Boomers",2002,"male",26.1948837209302
"27","Boomers",2003,"female",6.06139534883721
"28","Boomers",2003,"male",26.0929069767442
"29","Boomers",2004,"female",5.76428571428571
"30","Boomers",2004,"male",24.2619047619048
"31","Boomers",2005,"female",5.67083333333333
"32","Boomers",2005,"male",23.0214285714286
"33","Boomers",2006,"female",5.69576470588235
"34","Boomers",2006,"male",22.4305882352941
"35","Boomers",2007,"female",5.28011627906977
"36","Boomers",2007,"male",22.2145348837209
"37","Boomers",2008,"female",5.89988235294118
"38","Boomers",2008,"male",22.948
"39","Boomers",2009,"female",5.25494382022472
"40","Boomers",2009,"male",22.9043820224719
"41","Boomers",2011,"female",5.64872093023256
"42","Boomers",2011,"male",21.8836046511628
"43","Boomers",2012,"female",5.92098765432099
"44","Boomers",2012,"male",22.7883950617284
"45","Boomers",2013,"female",5.5075
"46","Boomers",2013,"male",23.213
"47","Boomers",2014,"female",5.59166666666667
"48","Boomers",2014,"male",21.9548717948718
"49","Boomers",2015,"female",6.57741935483871
"50","Boomers",2015,"male",22.3261290322581
"51","G.I. Generation",1990,"female",9.552265625
"52","G.I. Generation",1990,"male",31.6521875
"53","G.I. Generation",1991,"female",11.23625
"54","G.I. Generation",1991,"male",42.12953125
"55","G.I. Generation",1992,"female",11.878
"56","G.I. Generation",1992,"male",39.9338461538462
"57","G.I. Generation",1993,"female",11.4355384615385
"58","G.I. Generation",1993,"male",41.0533846153846
"59","G.I. Generation",1994,"female",13.795
"60","G.I. Generation",1994,"male",43.1469117647059
"61","G.I. Generation",1995,"female",12.6575641025641
"62","G.I. Generation",1995,"male",47.7194871794872
"63","G.I. Generation",1996,"female",12.2614285714286
"64","G.I. Generation",1996,"male",43.9271428571429
"65","G.I. Generation",1997,"female",11.1535064935065
"66","G.I. Generation",1997,"male",44.1403896103896
"67","G.I. Generation",1998,"female",12.106582278481
"68","G.I. Generation",1998,"male",42.7908860759494
"69","G.I. Generation",1999,"female",10.8060240963855
"70","G.I. Generation",1999,"male",40.8474698795181
"71","G.I. Generation",2000,"female",11.7336046511628
"72","G.I. Generation",2000,"male",40.1488372093023
"73","Generation X",1990,"female",2.50015625
"74","Generation X",1990,"male",7.1390625
"75","Generation X",1991,"female",4.75484375
"76","Generation X",1991,"male",15.05640625
"77","Generation X",1992,"female",4.51907692307692
"78","Generation X",1992,"male",13.854
"79","Generation X",1993,"female",4.21415384615385
"80","Generation X",1993,"male",14.4478461538462
"81","Generation X",1994,"female",4.28735294117647
"82","Generation X",1994,"male",14.6880882352941
"83","Generation X",1995,"female",4.85884615384615
"84","Generation X",1995,"male",20.2237179487179
"85","Generation X",1996,"female",4.91038961038961
"86","Generation X",1996,"male",20.0653896103896
"87","Generation X",1997,"female",5.07279220779221
"88","Generation X",1997,"male",19.9054545454545
"89","Generation X",1998,"female",4.89132911392405
"90","Generation X",1998,"male",19.5160759493671
"91","Generation X",1999,"female",5.01566265060241
"92","Generation X",1999,"male",19.8939759036145
"93","Generation X",2000,"female",4.42104651162791
"94","Generation X",2000,"male",18.7786046511628
"95","Generation X",2001,"female",4.58022727272727
"96","Generation X",2001,"male",21.8467045454545
"97","Generation X",2002,"female",4.63523255813953
"98","Generation X",2002,"male",21.9117441860465
"99","Generation X",2003,"female",4.42848837209302
"100","Generation X",2003,"male",20.5041860465116
"101","Generation X",2004,"female",4.18702380952381
"102","Generation X",2004,"male",19.6310714285714
"103","Generation X",2005,"female",4.52142857142857
"104","Generation X",2005,"male",18.932619047619
"105","Generation X",2006,"female",4.00588235294118
"106","Generation X",2006,"male",17.9241176470588
"107","Generation X",2007,"female",4.52906976744186
"108","Generation X",2007,"male",19.4108139534884
"109","Generation X",2008,"female",4.26105882352941
"110","Generation X",2008,"male",18.2676470588235
"111","Generation X",2009,"female",4.07494382022472
"112","Generation X",2009,"male",17.9157303370787
"113","Generation X",2010,"female",4.59471590909091
"114","Generation X",2010,"male",19.8627840909091
"115","Generation X",2011,"female",4.92581395348837
"116","Generation X",2011,"male",21.6663953488372
"117","Generation X",2012,"female",5.47333333333333
"118","Generation X",2012,"male",21.8628395061728
"119","Generation X",2013,"female",5.259
"120","Generation X",2013,"male",21.239875
"121","Generation X",2014,"female",5.05141025641026
"122","Generation X",2014,"male",20.2733333333333
"123","Generation X",2015,"female",5.17645161290323
"124","Generation X",2015,"male",19.9348387096774
"125","Generation Z",2007,"female",0.487790697674419
"126","Generation Z",2007,"male",0.804651162790698
"127","Generation Z",2008,"female",0.457764705882353
"128","Generation Z",2008,"male",0.779882352941176
"129","Generation Z",2009,"female",0.559550561797753
"130","Generation Z",2009,"male",0.636404494382023
"131","Generation Z",2010,"female",0.515454545454545
"132","Generation Z",2010,"male",0.782272727272727
"133","Generation Z",2011,"female",0.544418604651163
"134","Generation Z",2011,"male",0.730930232558139
"135","Generation Z",2012,"female",0.467654320987654
"136","Generation Z",2012,"male",0.817777777777778
"137","Generation Z",2013,"female",0.488625
"138","Generation Z",2013,"male",0.831
"139","Generation Z",2014,"female",0.628589743589744
"140","Generation Z",2014,"male",0.659102564102564
"141","Generation Z",2015,"female",0.685806451612903
"142","Generation Z",2015,"male",0.723548387096774
"143","Millenials",1991,"female",0.48015625
"144","Millenials",1991,"male",0.65640625
"145","Millenials",1992,"female",0.434
"146","Millenials",1992,"male",0.731692307692308
"147","Millenials",1993,"female",0.546307692307692
"148","Millenials",1993,"male",1.00646153846154
"149","Millenials",1994,"female",0.479117647058824
"150","Millenials",1994,"male",0.770882352941176
"151","Millenials",1995,"female",0.393974358974359
"152","Millenials",1995,"male",0.812564102564103
"153","Millenials",1996,"female",0.428051948051948
"154","Millenials",1996,"male",1.04272727272727
"155","Millenials",1997,"female",0.475974025974026
"156","Millenials",1997,"male",0.805324675324675
"157","Millenials",1998,"female",0.480379746835443
"158","Millenials",1998,"male",0.978987341772152
"159","Millenials",1999,"female",0.406987951807229
"160","Millenials",1999,"male",0.906506024096386
"161","Millenials",2000,"female",0.295
"162","Millenials",2000,"male",0.769883720930232
"163","Millenials",2001,"female",2.22454545454545
"164","Millenials",2001,"male",7.57039772727273
"165","Millenials",2002,"female",2.45674418604651
"166","Millenials",2002,"male",7.72151162790698
"167","Millenials",2003,"female",2.46401162790698
"168","Millenials",2003,"male",7.17313953488372
"169","Millenials",2004,"female",2.37297619047619
"170","Millenials",2004,"male",6.93470238095238
"171","Millenials",2005,"female",2.30130952380952
"172","Millenials",2005,"male",6.66940476190476
"173","Millenials",2006,"female",2.28905882352941
"174","Millenials",2006,"male",6.82517647058823
"175","Millenials",2007,"female",4.02802325581395
"176","Millenials",2007,"male",12.4808139534884
"177","Millenials",2008,"female",4.15352941176471
"178","Millenials",2008,"male",12.6256470588235
"179","Millenials",2009,"female",3.79224719101124
"180","Millenials",2009,"male",12.2659550561798
"181","Millenials",2010,"female",3.95738636363636
"182","Millenials",2010,"male",11.9901136363636
"183","Millenials",2011,"female",4.12494186046512
"184","Millenials",2011,"male",14.9155813953488
"185","Millenials",2012,"female",4.11253086419753
"186","Millenials",2012,"male",15.0310493827161
"187","Millenials",2013,"female",4.0840625
"188","Millenials",2013,"male",14.905125
"189","Millenials",2014,"female",4.14032051282051
"190","Millenials",2014,"male",14.2587179487179
"191","Millenials",2015,"female",3.83088709677419
"192","Millenials",2015,"male",14.0541129032258
"193","Silent",1990,"female",6.23109375
"194","Silent",1990,"male",21.719375
"195","Silent",1991,"female",8.72046875
"196","Silent",1991,"male",24.15171875
"197","Silent",1992,"female",9.06646153846154
"198","Silent",1992,"male",25.1290769230769
"199","Silent",1993,"female",8.55153846153846
"200","Silent",1993,"male",25.9743076923077
"201","Silent",1994,"female",8.07514705882353
"202","Silent",1994,"male",26.4230882352941
"203","Silent",1995,"female",8.54948717948718
"204","Silent",1995,"male",30.5203846153846
"205","Silent",1996,"female",8.32675324675325
"206","Silent",1996,"male",30.9592207792208
"207","Silent",1997,"female",7.66142857142857
"208","Silent",1997,"male",29.9537662337662
"209","Silent",1998,"female",7.40139240506329
"210","Silent",1998,"male",30.7949367088608
"211","Silent",1999,"female",7.62927710843373
"212","Silent",1999,"male",29.1495180722892
"213","Silent",2000,"female",7.62348837209302
"214","Silent",2000,"male",27.4390697674419
"215","Silent",2001,"female",8.92215909090909
"216","Silent",2001,"male",32.7505113636364
"217","Silent",2002,"female",8.91267441860465
"218","Silent",2002,"male",34.1261627906977
"219","Silent",2003,"female",8.1981976744186
"220","Silent",2003,"male",32.8512790697674
"221","Silent",2004,"female",7.81375
"222","Silent",2004,"male",30.8480952380952
"223","Silent",2005,"female",7.62535714285714
"224","Silent",2005,"male",29.7414285714286
"225","Silent",2006,"female",7.16729411764706
"226","Silent",2006,"male",30.2550588235294
"227","Silent",2007,"female",7.81953488372093
"228","Silent",2007,"male",29.7145930232558
"229","Silent",2008,"female",7.55211764705882
"230","Silent",2008,"male",29.1972941176471
"231","Silent",2009,"female",6.74387640449438
"232","Silent",2009,"male",27.9587640449438
"233","Silent",2010,"female",6.38721590909091
"234","Silent",2010,"male",27.8280681818182
"235","Silent",2011,"female",6.69709302325581
"236","Silent",2011,"male",32.0061627906977
"237","Silent",2012,"female",7.04271604938272
"238","Silent",2012,"male",34.3997530864198
"239","Silent",2013,"female",6.774
"240","Silent",2013,"male",32.004125
"241","Silent",2014,"female",7.20051282051282
"242","Silent",2014,"male",33.98
"243","Silent",2015,"female",7.81935483870968
"244","Silent",2015,"male",34.1153225806452
